date,type,status,body
04/29/2024,Customer Service Issues,ResolvedMore info,"I have a Securus Technologies account which I don't have issues with the account directly. However, I am unable to update my last name through the website and I have to call customer **********************. I keep trying to call customer ********************** yet there is not an option for name change requests and I'm not able to be connected to an actual employee. Without updating my legal last name, I am unable to make contact with my brother. The prison will not allow me to schedule sessions with my brother because my old name on Securus Technologies website does not match the prison's application forms. I have no way updating my name on my own and I am unable to make contact with a Securus Technologies live representative since there is not an option to do so. I tried using the online robot chat yet I'm just provided with a number to call which also doesn't direct me to a live representative for my issue."
04/29/2024,Customer Service Issues,UnansweredMore info,I have been using your company for a while now and have spent quite a bit of money with this company to contact my husband who is imprisoned. I made one simple mistake and on the advise of a prison employee got my bank to reject one charge. I was not aware that this would be something that would be punished so severely. I have never done this before and had no clue that this would basically make me unable to spend money with the company. I need to be able to contact my husband. I would like to have my account unflagged. I will not contest any more charges. This was one simple misunderstanding because a video visit I payed for did not show up on the facilities system. It was a simple human error and I just want to be able to spend money with you guys to message and video visit with my husband. Please consider my request. Thank you.
04/28/2024,Product Issues,UnansweredMore info,I was supposed to have a visit  with my love one on April 2 2024 we was unable to do that visit because thier Monitors wouldn't work we couldn't see each other and I made a report to get my money back *** they want give it back. Evey time I call I am told something different.
04/26/2024,Product Issues,UnansweredMore info,"I've use this service almost every week, for almost 5 years.  Roughly HALF of all calls/videos never take place, or are so low in quality they never are completed.  Refunds never happen, regardless of the ridiculous process you have to go through to not get them.  Absolutely NO Customer **********************!"
04/23/2024,Product Issues,UnansweredMore info,I had a collect debit account with ****************** and closed the account and have yet to receive refund and when calling customer ********************** recording states that they are unable to understand and disconnects call. In addition to calling attempting to speak with someone I have sent an email inquiry with no response to that.
04/16/2024,Product Issues,UnansweredMore info,"The name of the company is H3237373538**35373632H and they handle the Mo. Prison H3134313633**30353835H tablets.  The problems are, I have 3 songs I purchased that changed to different songs than what I purchased when the system crashed.  I have been filling out trouble tickets since this has been occurring and all they do is give me the runaround with suggestions like ways to download my music  or they say that they turned it over to their team to figure out how to handle the problem and that I should keep checking my account for a refund. The songs that I am having problems are Def Leopard - Armageddon I it comes up as #*********, ***** - Makin Magic comes up as (Hello Sir) by ******** and (************ - It&#**;s So Easy) comes up as That&#**;s What You Get by *****************************. They still to this day have not fixed the problem or given me a refund.  I have a lost faith in this company and am very frustrated with them.  Please help me with this problem.  Thank you for your time and consideration."
04/15/2024,Product Issues,UnansweredMore info,"4/15/24 Called 800 number today to get a refund on my regular call that lasted under 10 mins when normally be 22 mins.& refund from my video connect call on 4/11 & 4/13 when Securus only placed 1 machine in a form with ***** men how can they all have a chance to get a 30 minute when you have a schedule like 10:01, 10:06, 10:15, etc. I stayed on the phone almost 2 hours to be hung up on with representatives that don't want to provide their name, don't esnt to give you a supervisor, etc. I was hung up on by ******* then ******* after being on hold for over 10mins., called bsck got a ****** that hung up, called back got a ***** that stated that she could not credit my account as it was before on 4/1 & 4/2 because 4/11 it said missed customer because he kept trying to sign on & couldn't. You see that he didn't come on the ******** can't get my funds back like I did on 4/1? I was told to go to the website & report it to contact ****** need to wait 5 business days. Securus didn't wait  5 business days to take my funds. We already have enough stress dealing with a loved one behind the wall, feeding them, paying for these calls, Now I have to wait 5 business days to get a refund? Why? Also, was told that my $30 phone credit balance was going to increase to $50 after 90 days & have not. I was told a message was sent up. It's been over a week & have not heard anything about this. No one never calls to follow up about anything unless I contact you all this way. That is why I am contacting you."
04/15/2024,Billing Issues,UnansweredMore info,"Basically, the Securus phone systems used in California prisons is in fact, illegally bugged for every persons call, and they do not route the calls to the person intended when someone makes a call. This goes for non-violent criminal offenders, or people supposedly calling out to other people with non-violent criminal histories or who have a history of mentally-disturbed induced criminal offenses. I would put the blame squarely on the facilities that use the services but let's be honest. They don't hire VOIP/telecommunications experts to work at prisons and prison lobbies for the most part. If they do, that's pretty interesting. If the calls are being routed incorrectly, the prison personnel might even have someone sounding like the person intended to be called answer the line from outside the prison. That is the part that would be incredibly offensive and the people doing that in the prisons would be heavily fined and possibly even fired, if not suspended from work without pay for a while. I am of course referring mostly to the supervisors and then the employees. The supervisors of these prisons have been there longer and Securus got these contracts in 2000 in **********. I hope the supervisors did not teach the employees to do this to people. Regardless, this would be a gross miscarriage of justice if Securus technologies knowingly provided a means for a few corrupt cops/police personnel to mis-route, spy or bug calls, and manipulated phone conversations for EVERYONE. If this is done to innocent people, this is horrifying. I would press charges or *** if I could, but to my knowledge, their actual headquarters is in ******. Of course. Their satellite US office is in *****, for some reason."
04/15/2024,Service or Repair Issues,UnansweredMore info,"I purchase stamps in order to send messages to loved ones in prisons and since Friday unable to send messages. The automatic messages states having technical difficulties try again later. Multiple attempts Friday, Saturday, Sunday and Monday. Web site no help at all, phone number fully automated and refers back to web site. Unable to contact a person or send a message the automatic Securus assistant can understand and this automatic assistant ends the call without any viable answer. Must send a letter with complaint. I closed phone account, still have stamps and messaging account. Dont know what to do. Just wait for a phone call from loved ones."
04/08/2024,Billing Issues,UnansweredMore info,I'm being charged ***** on my account on March ******* when I only paid ***** and that ***** haven't been posted to my account still this ***** was taken
04/08/2024,Billing Issues,UnansweredMore info,"Within the last 12 months I have been overcharged for my friends and family account calls by **********************. I have attempted to contact them on multiple occasions via their websites contact section with no answer at all. I had a change to my account phone number at that time (not sure the exact date at the moment but I will find it) I was sure to check with the phone company and verify that I was staying in the same calling area that I was previously in. Securus charges for calls that are not ""local"" at several times the local rate. I did not realize at first that I was paying more, until I realized my card was being charged a lot more often for funding the account. I went an verified I was being charged a higher rate and reached out asking why the change. I informed Securus that i was told by the phone company ******* that I was still in the local calling area. I have made at least 3 maybe 4 attempts to get this issue resolved with no reply of any kind. They are still charging me long distance rates at this time. I believe that I am being charged long distance rates and I should be charged the local rate. I would like the issue resolved, charge corrected for the future charges, reversal of all charges dating back to the new number being added to the account, or proof that I am outside the designated local calling area to the reference contact."
03/28/2024,Delivery Issues,UnansweredMore info,"*Date of transaction: began around 2012-Jan 2024.  *Amount of money paid:  Over $1,500 *Business committed to provide: I purchased music on a ""loaner tablet"" in the Virginia DoC with the promise of receiving my music on a flash drive after release.*Nature of dispute:  I was told by customer ********************** to write a letter to the Carrollton Warehouse of Securus with personal information and tell them I had a loaner tablet.  After 1 month I was supposed to receive a letter stating that my tablet was being shipped.  It has been over 2 months and I haven't received neither a letter nor the flash drive containing the music I purchased.*Business tried to resolve the problem:  The company's Customer ********************** says they are incapable of telling me anything about the status of my music.*Order tracking number: N/A (however they identify me with #*******, Lunenburg Correctional Center)Advertising:  No"
03/28/2024,Product Issues,UnansweredMore info,"I signed up for the secures service due to a loveone in jail. It was difficult and confusing to sign up for. I selected a video call, and filled the email. The day and time it didn't work. I called and was told I had to use the app.  I was refunded the money after 3 calls. Next problem my person called and I was never able to talk to him. Then the next time he called the call was dropped after my credit card was approved. Called and was told it should be refunded. It never was.  This company is crooked and takes people's money, when they are in a bad situation.  I also bought stamps for emails.   Just like with everything about them they add a bunch of fees and taxes.  I would like to get back ***** back."
03/25/2024,Product Issues,UnansweredMore info,"In October 2023, securus withdrew $150 from my fiancee's inmate account.  This put him in a negative balance and I paid the funds to get him back into a positive balance. In January 2024, they withdrew the $150 again and when I contacted them, they said it was for the transaction made in October. I asked why they took it out again and they stated that it was not paid.  But I paid money into the account to make it positive again. My fiancee, *************************** DOC ****** at WSP, has also tried reaching out to them and neither one of us can get answers. It seems unfair that he is being penalized for something out of his control. Apparently, someone put money on his account and then cancelled it, which is why they took the $150 out in October. We cannot figure out why they took it again in January. Any help with this issue is greatly appreaciated."
03/21/2024,Billing Issues,UnresolvedMore info,"My son is a prisoner in ******* ************************* Prison, His name is ***********************, ADC # ******.I had an account through the Securus app in which I purchased stamps (required for e mails ) and put money on his books for the store.Suddenly in Oct. 2024 I was no longer able to purchase stamps when I tried it said Error. when I tried to put money on his account it said he was not allowed to receive funds with no explanation.I tried calling the company at all the numbers I could find and could never get through to a human, i made repeated calls for six weeks before giving up..After months of e mails I finally got a response but the responses did not address my problem, in one the respondent even said they did not sell stamps, in another they said they did not service this facility even though I've been using the system {app} for many months.I asked the prison officials for help, and every single one I contacted were professional, kind and tried everything they could to address this problem but no one in the prison system has been able to get a direct response from Securus.Finally two weeks ago a securus rep the works within the prison called me, she could do nothing to help, and even said even she did not have direct contact with securus, could not call for assistance herself and had to send an e mail to her superior. Which she supposedly did two weeks ago asking someone from the company to call me and help straighten out my account problem.But guess what...still no call, I still can't e mail my son, send him pictures of his grandson, and I still have received no explanation why. This company is under contract with trhe state and seems to think is has no responsibility to service its customers.Please help me regain contact with my son."
03/13/2024,Product Issues,UnansweredMore info,3-1-2024 or 3-2-2024 Securus Technologies customer ********************** representative stated refund to card ending 9898 for account #********. As of date inmate telephone account closed/disconnected but monetary refund not issued.
03/01/2024,Customer Service Issues,UnansweredMore info,Double taxing this company charges a fee which doesn't explain what it's for of $3 on top of it it's charging another fee of $3.08 for Regulatory and taxes no matter what it's for they are charging taxes and a fee on top of every one of their transactions even for their email. They are double dipping but they know that loved ones have to keep in contact with each other some way somehow so they get away with charging almost $6 for every transaction someone needs to look into this to see if they are charging us the proper fees I mean it used to B150 for the fee and like 95 cents for taxes and out of nowhere just jumped six dollars.
03/01/2024,Product Issues,UnansweredMore info,"I had purchased a Video visit call from Securus as one of their services. My call was scheduled to take place on 2/23/24 at 8:30pm CST. When I logged into the call the screen was black and there was no audio. My inmate contacted me via phone during this same timeframe and informed me that he could see me and hear me, however I was not able to see nor hear him. After several attempts we gave up. I submitted a Securus Video Connect Credit Request Form to request a refund or credit due to this technical failure on Securus's part. Per their request form located on their website, I allowed them 5 days (today) to ""investigate"" the issue to determine whether or not they will provide me with a refund. It also indicates on their website to call for a final decision. I have attempted to call and it's impossible to speak with anyone. All prompts lead to them ending the call with absolutely no resolution because you cannot actually speak with someone nor is there the option to check the status of this request. This is not the first time I have had a failures with other video calls however my last two requests for refunds I submitted went unresponded to and were never credited. I won't accept this anymore. I will no longer sit by and allow them to manipulate people out of their money when no services are being provided. They take advantage of the fact that customers have no other options and so are forced to use their services if we want to try to stay connected to our loved ones. Please find attached photos that prove I submitted a request  2/25 - although they will not send customer's confirmation emails nor any other communication for that matter. All they do is refer us to their phone number which nobody actually picks up - only prompts are available. It is impossible to work with this business through any sort of dispute due to lack of accessibility which feels 100% intentional. The harder it is to file a dispute, the less likely people will. They seem to hinge on this."
02/29/2024,Product Issues,UnansweredMore info,"I have paid for services twice with this company, and have not received them. I paid for a video call  to be held on on January 25, 2024 and their service was not working. We could not connect with our family member in jail. Twice I requested a refund through their website ***** 26 and Feb 2nd) and they never responded. Now I have a video call scheduled for today that was cancelled by the jail since the family member was released. They do not respond, and make it impossible to speak to a live human being to resolve issues. The chat feature is useless because you still cannot speak to a real person via their ""online chat"". They ignore you and just hope you go away. I filed my complaint because even though the amount they owe me is miniscule, it is the principle of the matter."
02/20/2024,Service or Repair Issues,UnansweredMore info,"Securus Technologies is a company that provides video visits for incarcerated individuals at prison facilities throughout the country, as well as other services. Specifically I am referring to video visits at Washington Corrections Center for Women in ****************. I pay $5.35 for each visit. There are 2 kiosks the women can use to receive video visits. When we schedule visits one kiosk is the default, I cannot set visits to a particular kiosk. The default kiosk has not been working for over a month. We pay for these visits and we cannot see or hear her. On her end she can see us briefly but then it stops working. I have had 8-10 visits like this and have emailed the information to them and they have not responded nor have they refunded my money or given me vouchers to replace the missed visits. We have custody of our daughters son and this is very important for them to have communication to not take this issue seriously is not good. Other inmates have the same issue, and no one from the company has reached out to anyone that I am aware of. The inmates have reported the issue to the facility, but it is a Securus Technologies issue."
02/15/2024,Customer Service Issues,UnansweredMore info,"Thursday, February 15, 2024 - 8pm.I was trying to send an email message to an inmate and it didn't go thru.  A message popped up saying the was a technical problem. So my email didn't go thru nor was it saved as a draft. I had a total of 4 stamps in which I was using 2 for the email.  All my stamps were gone when I logged back in to try to send again.  I called the **************************** Both are the same recording and there is no prompt to actually speak to a person.  This is the second time this has happened and it is frustrating that you can't no only be refunded, but not get a actual person to speak with. Now I have to add more money and retype out my  lengthy message again."
02/13/2024,Customer Service Issues,UnansweredMore info,"On Jan 30 2024 I sent my husband a legal package for his case to Securus at the following address PO BOX ****** ****** *****,75266-0400 do to the new mail digital policy from TDCJ. On Feb 12 2024 I contacted the ********** Mailroom Oversight manger Mrs. ******* who had looked to see if the legal mail had been delivered to *********************************** Unit and scanned in and sent to him by his tablet. She called me back and stated that she was unable to see if the legal mail had been sent and if her unit mailroom had scanned and processed the legal mail and sent to him. When I asked ******************************* my husband had he received the mail and he stated to me know. It is now beginning to be almost 30 days. This paperwork is very crucial to his case. I asked was the unit behind and she stated to me know. ****** *************************** #********. The courts is waiting for the information that I had sent him. Mrs. ******* stated that they are not allowed to contact the vendor regarding delays or where the offenders mail is and etc."
02/09/2024,Product Issues,UnansweredMore info,"Securus Video Connect system has not functioned correctly for several months for the Oceana County Jail in ********. A service they charge a exubrent fee to use, Their service techs told the inmates to use a card to cover the video feed on the jails end and the audio would work, though phone calls are much cheaper. The video from the family would still work and be seen by the inmates. I have contacted them about this and others have also to no avail, and no response back. The most recent attempt to fix the system in the jail broke it to the point that none of the video connect services work, I was called on the phone and told to cancel as it was not working at all anymore, and upon cancelling due to technical issues on Securus's systems I was told I would not get a refund or credit. This system needs to be fixed, and I am reaching out to an attorney to find out what our rights are for visitations as well since there is no longer a possibility of a live face to face visitation and securus has sole rights to all visitations phone and video. I have paid $13.77 13 times and the video has only worked 2 of those times, and I did not get what I have paid for, and should be able to get a partial credit or refund for all those sessions that did not work as advertised."
02/08/2024,Customer Service Issues,UnansweredMore info,"I have spoken to 2 different employees on 2 separate occasions and they have been the nastiest, rudest people Ive ever spoke to! You are assisting customers at a very hard time in their life trying to navigate a hard situation and you treat people like dirt!"
01/14/2024,Sales and Advertising Issues,UnansweredMore info,"They advertise that you can buy a movie package on the inmates iPad. But it is not available. The music and game packages work but not the movies. If they advertise it , the inmates ought to be able to purchase it. Would appreciate any help you can seek."
01/11/2024,Billing Issues,UnansweredMore info,"09/24/23 I placed $50 on my account for my stepson to be able to contact us from ************** @ ********************* Correctional Facility.  September, I received my credit card statement, and I was charged for a video call that I did not make.  I have no idea how to do so. I disputed the charge and Securus took $50 out of my account.   I've made multiple attempts to try and resolve this issue by sending e-mail (s) through the Securus site and no one will reach out to me.  My account was closed.   As of today, I am unable to log in before this I was unable to add funds to my account would give an error message credit card wasn't valid which was not true, and/or technical difficulties.  Today I tried to open a new account for my husband using another e-mail account and I'm blocked.  I've tried contacting ************ and ************ and was unable to speak to a person.  Securus did not have authorization to take the $50 from ********** account because I did not do a video call never have and never will.  The interesting fact is the automated system does not even acknowledge I made a $50 deposit on 09/24.   I would like my $50 refunded and be able to add funds to my account."
01/11/2024,Billing Issues,UnansweredMore info,"On 1/10/24 I made a $100 payment to this company to go on my account to receive calls, upon checking if the payment was received, Securus tells me that it will take 24 hrs for the payment to post, yet online and through their automated system, it should of taken an hr. On the Money Gram receipt it saids 4-6 hours to post. I speak to another rep today, she tells me that they had to send a ticket in and it can take up to 15 days. How dare you take someones money and not post their payment upon receiving it. They are not following their own policy and all you can say is I apologize. My husband is incarcerated and has a medical condition and I need to be in contact with him. These people are not doing what they policy saids and enough with the excuses"
01/11/2024,Customer Service Issues,UnansweredMore info,"January 06, ****, I was checking in on the payment I was essentially made under duress on an account that had previously been shown to not be mine. Before her death in 2023, my sister had an outstanding bill that I was unaware of. I paid the bill the previous evening, on January 5, 24. I was told that the block would be lifted and that the money would be credited to my account once the ticket was escalated. My MoneyGram reference number is ******** *****. When I phoned again to find out why the phone wasn't working, the first representative had given me incorrect information. When I called back, I spoke with someone who held the phone first, and then *****. ***** assured me it was irrelevant If my sister had passed away, it would still be bad debt She went on to imply very snarky that this would not be handled in a day, which concerned me greatly because I had already paid off this ""BAD DEBT."" I replied that no one had informed me of this prior to my payment. She belted That is the policy, she informed me, adding that she couldnt escalate to a management and that I would hear back from in 15 days. Someone said, ""Hang up, tell her, In the background, referring to me, the customer, saying, ""We hang up over here."" She then persisted in talking too much to me and disconnecting without offering any solutions. Where is my money, and why are the representatives treating the consumers the way they are, I would like this escalated."
01/07/2024,Customer Service Issues,UnansweredMore info,"Wealready pay a lot of money for our incarcerat** lo ** ones to be able to stay in touch for important events or just to keep their spirits up .However Securus aet. al , will not link text messaging , they want US , the family, to purchase STAMPS , meanwhile they refuse to  link like any other cell phone"
01/05/2024,Product Issues,UnansweredMore info,In the month of November 2023 I purchased three video visits and they did not go through so I sent in forms to request refunds I received three refunds for the video visit as of January ****. As of December 2023 all video visits are free and my account was refunded and now that I'm asking for the money back they're telling me I have to close out my account just to receive a refund which is very unfair because if I close out my account I will lose everything. So I contact Securus and ask them to refund me my credit card back due to new laws that was passed down in ************* we no longer have to pay for video visits and they're refusing to give me a refund back to my account and they also trying to steal and keep the money.  My balance is ***** and they are refusing to put the money back on my debit card.
01/04/2024,Sales and Advertising Issues,UnansweredMore info,"My husband is in TDCJ in ********** **. He told me that in his FYI app on his tablet, it shows that they have the option for movie subscriptions, which in fact He can not subscribe to. That is false advertisement on securus. Family's put money on there for them so they can watch movies and or listen to music or play games. Securus needs to offer that movie subscription to our inmates, and not give out false advertisement to them. Just renting a movie is 9 dollars, when they can get the subscription for ***** month for **** plus movies and shows. Why have it on there and not have it offered?? When it says they have that option. Securus needs to make this right so my LO can have movies to watch. Such false advertisement. When it's been advertised since 2022 and here it is ****."
12/20/2023,Service or Repair Issues,UnansweredMore info,"I had a chargeback , on my account I paid the amount ****** so that I could have my account open up , I was told it was high priority but come to find out it was not , I just want to be able to do a busy with my man because I had a liver transplant and its Christmas if they could help me please  I ask to speak to someone in the back office , but told I cant , they have not been rude at all but I just need help no bad review"
12/13/2023,Product Issues,UnansweredMore info,"On several attempts to resolve my refund matter and to speak to a live person has failed I was told by the operator that my refund had to be refunded back to the closed account and that i should go to the bank and tell them I need a refund sent to them This was my final attempt to resolve this matter respectfully now it has increased and misconduct has become the order of the day because there is no one overseeing the fraud that is going on with the price and service gouging upon using the system they ask you to make a onetime payment for the call there is a **** service charge per call and then it is 21 cents per minute in my case my calls are less then 10 mins  and im being charged ***** ****** per call while they continue to say it just a hold in case you go over they already securing money that has nothing to do with the actual call then they ask you to set up an account which is ***** min for fees and taxes and other invisible services at this point I am seeking Justice this is an pure act of Business Misconducts and false, fraudulent and misleading people, this system was supposed to be set up to connect loved ones who are in the prisons across this Land the ads look good but most are pure scams I am seeking Justice on all levels for myself and those who have been victims of this cruel operation"
12/13/2023,Customer Service Issues,UnansweredMore info,11/18/2023 I bought 250 text messages through Securus. On 12/1/2023 the messages were randomly blocked. The prisons state they have nothing to do with the block and Securus controls the block.  Securus states they have nothing to do with the block nor will they refund me. I paid for a service I can't use. Either I want the text to be unblocked or my money refunded. There was no reason it should have ever been blocked nothing wrong was done.
12/10/2023,Service or Repair Issues,UnansweredMore info,"I want my ADVANCE CONNECT account opened. It says closed by owner, but I didnt close it. Ive emailed about this several times, and no one responds. Its c*** that you dont have a phone number to call. Youre ripping people off. Ive paid money for this account, and you closed it with my money still in there. You wont respond to my emails."
11/25/2023,Product Issues,UnansweredMore info,"Ive been with Securus for close to 2 years now, I make several transactions a month, from stamps to minutes for the phone on both my advance connect acct to the inmate debit side. Ive got a few different contacts with whom I receive messages and calls from. Here lately its been nothing but problems with the companys side. From not receiving phone calls, to the phones on their side not working or recognizing the voice biometrics constantly to not receiving the messages or pictures for days to weeks even months at a time its ridiculous the amount of money myself and others pay this company and in return we get c*** service and treated rudely when we call and speak with a representative."
11/24/2023,Service or Repair Issues,UnansweredMore info,We pay to be on the phone with our loved ones but the calls are never clear. We customers pay a lot of money so we should get the service we are paying for.
11/24/2023,Service or Repair Issues,UnansweredMore info,Spend so much money on the phones but they are always messing up or theres always an issue
11/14/2023,Sales and Advertising Issues,UnansweredMore info,"During the month of October I used your phone connect service to make call to inmate in ****** holding facility . The 1st call I was told would not be charged but required card on file. come to find out I was charged . 2nd issue every time you make or receive phone call you are told youre receiving a call from ""insert county jail"" and the call will be billed even if it 1st call/free . Very bad business practice . would like refund and for the automated message from inmates to be corrected"
11/12/2023,Product Issues,UnansweredMore info,They took $10.50 from my account and I didnt give permission to do so.. so when I called to get my refund back the lady was very rude to me and told me pretty much they wasn't giving my refund back and this isnt the only time they did this..
11/09/2023,Billing Issues,UnansweredMore info,"I used my debit card to add money to the eMessage account to speak with my incarcerated loved one and the system stated it could not take my payment because of an error with my address. I tried a different card and he stated the same thing. I looked at my accounts and noticed this company charged my account each time.  When I called to speak with the company about the charges on my account, they stated that there was nothing they could do but send the request to their back office, which would take 15 days or more before I could get my money back into my accounts.  Neither did they move the funds to the eMassaging account to allow me the ability to email my family.  This company is ripping people off and the ***************** is allowing it! After seeing all of these complaints, why is this company still allowed to take hard-earned money from the citizens of ********?  I will be making a complaint with the Attorney general's office in ******** about this company. They should not be allowed to take money from people like this.  I have no confidence that I will receive a refund.  I refused to add my credit card to this system again as the manager advised me to do to get credit on the account to email my son.  Why would I add my credit card again, after knowing they are taking money from people?"
11/09/2023,Customer Service Issues,UnansweredMore info,Entered by BBB staff LO Consumer states when the money is at a zero balance no calls can come in. When she went into the app to add money she noticed the balance is in the negative and she is not understanding why. She is unable to add money because when she does it is taking away from her amount even though she is not receiving any calls. She states she contacted the business and they told her there is nothing they can do because there is a glitch in the system. She asked if they could credit her account once the system is working and they told her no.
11/09/2023,Service or Repair Issues,UnansweredMore info,"2Payments made thru MoneyGram, in the amounts of $52.19 & $15 on 11/03/23 & only 1payment($15) posted on 11/04/23 to my Securus acct.  I was told to pay the $52.19 to my acct to bring it to good standing and to add additional money($15) for phone time. Because my $52 payment failed to post I'm having to pay an additional $3 each call just to connect plus the call rate and taxes. I've called Securus daily and nothing has been done and no one has reached out to me regarding reimbursement for the extra $ spent due to their system error, as well as bringing my acct current. The Money Gram Reference #'s: ********, ********."
11/08/2023,Service or Repair Issues,UnansweredMore info,"September 29th, 2023, Securus became the new phone service provider to the ******** Department of Corrections. Immediately apon their takeover, a multiple of ******** customers (including myself) discovered that we were not able to receive calls placed through securus. I first went to ******** to have the issue checked out and was assured that there is nothing on my phone that would prevent me from being able to get the calls. After that I called securus  multiple times, having them troubleshoot my phone. Everytime, they would tell me there was nothing wrong with my line, and they did not have a reason for the calls not coming through. Finally, a customer ********************** agent agreed to escalate my account and have the technical support team look at it. I was finally able to receive calls for almost a month after that. Starting last week though I am back to no longer being able to receive calls. I contacted securus again. They informed me that the only way to fix the situation was for me to switch cell phone providers because people all across the nation who have ******** are not able to receive calls through Securus and they don't know how to fix it. This is absolutely unacceptable. I am locked into a contract with ******** and the fact that securus cannot get the calls to connect has nothing to do with ********. That is an issue on their end that they are refusing to investigate. Meanwhile, hundreds of inmates are not able to contact their loved ones due to this.  That creates extreme emotional problems among families and inmates. Securus needs to be held accountable for this and fix their system. No one ever had this problem when GTL was the phone provider. This is the only way we have to speak to our loved ones and securus has prevented us from being able to do this. Please help us resolve this."
11/08/2023,Customer Service Issues,UnansweredMore info,"This company seriously needs to get their act together. I have been trying for a week to schedule a video call with my son who is in jail and finally got approval and I go to pay for the call and it declined my card. Then when I call, they say the system is down and they cant currently accept any credit or debit cards. They offered NO apology and no real time frame. I also received calls from my son and I cant even take his calls bc it is declining the card I have on file bc of this!!!! So no one can talk to their loved ones bc of this??? Absolutely unacceptable. A company like this should have systems in place to prevent/deal with something like this. You cant just not connect people with their family and loved ones. I will also be filing complaints with additional organizations. This is absolute BS. Get your act together."
11/06/2023,Sales and Advertising Issues,UnansweredMore info,Securus offers Call subscription and has offered it for several months and doesn't allow anyone to choose.  This is false advertisement and it needs to be corrected. When I call in about any issue they laugh at me and hang up on me instead of transferring me to a manager or corporate office. It's a horrible experience to say the least.
10/16/2023,Customer Service Issues,UnansweredMore info,I called on 10-14-23 around **** am to inquire about resetting a PIN for the telephone account I purchased and set up for my incarcerated loved one since that website would only tell me every time that it was having issues check back later. Since the wait over the telephone was so long I opted for a call back. The lady who called back was clearly agitated when she called before she even spoke with me. She rudely asked for my information and while I was trying to explain asked me if I was going to give her a chance to speak. I'm  going through a very hard time with my loved one and her rudeness was uncalled for. I tried to remember the email but she extremely rudely snapped no you get one chance and I knew then she was going to be to ugly to help me and I hung up. These people working for a company who assists the incarcerated should understand this is a time we need a little compassion and to show kindness. I just want someone to bring it to her attention that her attitude should not be tolerated in that kind of work situation.
10/11/2023,Product Issues,UnansweredMore info,MY son and inmates around ** use this service to purchase music for their tablets in prison. They spend other peoples hard earned money to have something that will help them deal with the time they are serving. My son has spent hundreds of dollars. Recently they were all given what was suppose to be new tablets. The music and movies they bought were suppose to be transferred with the tablets. They were promised this for months and with a will have for sure date by Sept 5 2023. Now we are in Oct and still nothing. We would either like a refund for all the movies and music or like the transfers to be completed.
10/11/2023,Billing Issues,UnansweredMore info,"This company failed to provide the services of 2 video visits. The company is aware that they did not provide the service. I sent them an email in reference to the issue and they did not respond to either one of the emails. I requested my credit card retrieve my money because I had paid for services not received. Securus, sent me an email stating they suspended my account. I called their customer ********************** and they are adamant that although they know the visits that were paid for were not received that I did not have a right to go through my credit card company and suspended my account. They are insisting I pay for services never rendered. I was also connected with a manager who put the call on hold in the middle of the call and never returned"
10/09/2023,Product Issues,UnansweredMore info,On October 6th I received a collect call from my daughter who is currently in jail in Lake County *******. The automated ai asked if I wanted to set up phone service. I pressed yes. It said it would be $3.50 to set up and .21 a minute. After three minutes of just entering all my debit card info the call was terminated. I didn't get to talk to my daughter. She tried calling back and I had to repeat the process only for it to disconnect again. I tried calling SECURUS but there are no humans answering the phones. My bank account was charged $7.50 twice!!!!! These people are not available to talk to to figure this I'm supposed to get my refund. I'm disabled and on a fixed income so losing 15 for nothing is a big deal yo me.
10/09/2023,Customer Service Issues,UnansweredMore info,"This fraudulent company supposes to allow inmates to call their families. Securus instead takes the money abs when they call you can't answer their call from jail. Their customer ********************** department is literally nonexistent as we have been in hold for over an hour and a half THIS TIME and 4 different calls for over 2HOURS THEN THEY HANG UP ON YOU. We have paid this company well over $200 in the past and this is a recurring issue with this company. Check their ****** reviews, I'm not the only claiming this company is fraudulent. The ************* should look out for THEIR EMPLOYERS (TAXPAYERS) a whole lot better than they do. Securus also treats the families of inmates as criminals and suckers."
10/02/2023,Product Issues,UnansweredMore info,"I had a account with ****************** technology the last time I used it was 2021 when I spent $10 I had used it prior but I havent used it since June 6, 2023 I was charged $253 on my credit card, it doesnt show up in my securus account. My account was closed, I do not know anybody in prison anymore. I have not made any calls to prison accepted any calls from prison since 2021 They will not tell me why I was charged my bank would not give me a charge back due to securest technologies, saying I have an account I have screenshots of my account showing it has not been used showing. *** never had a debit account with them or any other account with them. They are giving no information as to who the money was given to. They wont give me a receipt they basically wont tell me anything, its always 15 days theres a ticket in I have received a copy of a letter from *** securest technologies try to say I have two accounts I dont and that my bank said the charges were legitimate so they must be but my bank went on securities words that I had an account  the bank explained I had an account and securest said it was  a-legitimate charge , they are either not doing their job investigating this charge or they are part of a scam. I dont know what else to do so I am going to file reports and hope somebody can get to the bottom of this if there is a new question from them I would love to give an answer, but I cant answer what I dont know they said in the letter that I can provide that the *** emailed me that I am continuously funding an inmate in a ***** prison. I do not know anybody in prison now an never *****.they asked for police report,asked for inquiry form,asked for second inquiry form i did it, only to be told you filed out wrong form ,so no real answers ever given until now and that letter to fcc is a lie by their own admission you can only give a inmate $50 at a time how did they change me $253 in one transaction,their operators said my charges were fraudulent"
